id,name,normalized_name
574,Miss Hoover's Classroom,miss hoover classroom
575,Iowa Non-International Airport,iowa non-international airport
576,National Testing Center,national testing center
577,Springfield Elementary School Psychologist's Office,springfield elementary school psychologist office
578,Dream Cloud,dream cloud
579,Li'l Ludwig's Music School,lil ludwig music school
580,Winfield Residence,winfield residence
581,Squad Car,squad car
582,Who's To Know Motel,who to know motel
583,Police Car,police car
584,Fleeing Car,fleeing car
585,Warehouse District,warehouse district
586,Outdoor Parking Lot,outdoor parking lot
587,Alley,alley
588,Teachers' Lounge,teachers lounge
589,Detention Room,detention room
590,Newsroom,newsroom
591,The Krusty the Clown Show,the krusty the clown show
592,Springfield Animal Hospital,springfield animal hospital
593,Animal Hospital,animal hospital
594,Springfield Barber College,springfield barber college
595,Dog Pound,dog pound
596,Springfield Googolplex Theatres,springfield googolplex theatres
597,Movie Theatre #1,movie theatre 1
598,Movie Theatre #6,movie theatre 6
599,Country Bar,country bar
600,The Beer -N- Brawl,the beer -n- brawl
601,Hospital Operating Room,hospital operating room
602,Trailer Park,trailer park
603,Kudd Radio Station,kudd radio station
604,The Corpulent Cowboy,the corpulent cowboy
605,Recording Studio,recording studio
606,Lurleen's Trailer,lurleen trailer
607,Lurleen'S Dressing Room,lurleen dressing room
608,Awards Show Set,awards show set
609,Prison Gate,prison gate
610,Sideshow Mel's Apartment,sideshow mel apartment
611,Reception Hall,reception hall
612,Shelbyville Falls Hotel,shelbyville falls hotel
613,Shelbyville Hotel Suite,shelbyville hotel suite
614,Springfield Coliseum,springfield coliseum
615,Coliseum,coliseum
616,Concert Arena,concert arena
617,Arena,arena
618,Ext. School Bus Stop,ext school bus stop
619,Tire Yard,tire yard
620,Spinal Tap Tour Bus,spinal tap tour bus
621,Spinal Tour Bus,spinal tour bus
622,Department of Motor Vehicles,department of motor vehicles
623,Serpentine Course,serpentine course
624,Springfield Elementary School Parking Lot,springfield elementary school parking lot
625,Simpson Garage,simpson garage
626,Testing Course,testing course
627,Pool,pool
628,Martin'S Room,martin room
629,Milhouse's Bedroom,milhouse bedroom
630,St. Jerome's Catholic School,st jerome catholic school
631,Medical Testing Area,medical testing area
632,Testing Area,testing area
633,Hobo Jungle,hobo jungle
634,Herb'S Estate,herb estate
635,Powell Motors Showroom,powell motors showroom
636,Springfield Civic Center,springfield civic center
637,Train Yard,train yard
638,Train,train
639,Furniture Store,furniture store
640,Baby Expo,baby expo
641,Kremlin,kremlin
642,Simpson,simpson
643,Springfield Elementary School Bell Tower,springfield elementary school bell tower
644,Front Hallway,front hallway
645,Kamp Krusty,kamp krusty
646,Club House,club house
647,Camp Mess Hall,camp mess hall
648,Mr. Black's Cabin,mr black cabin
649,Bunk House,bunk house
650,Center Court Wimbledon,center court wimbledon
651,Nature Trail,nature trail
652,Arts & Crafts Center,arts crafts center
653,Audience,audience
654,Fat Kids' Compound,fat kids compound
655,Springfield Community Center,springfield community center
1233,England,england
656,Rehearsal Room,rehearsal room
657,Day Care Center,day care center
658,Community Center,community center
659,Alleyway,alleyway
660,Womb,womb
661,Front Yard,front yard
662,Spookhouse,spookhouse
663,Caricaturist's Booth,caricaturist booth
664,Carnival,carnival
665,Hotel Ballroom,hotel ballroom
666,Beauty Salon,beauty salon
667,Salon,salon
668,Blimp,blimp
669,Springfield Wax Museum,springfield wax museum
670,Springfield Dock,springfield dock
671,Springfield Military Base,springfield military base
672,Helicopter,helicopter
673,Parade Grounds,parade grounds
674,College Football Game,college football game
675,Mayor's Office,mayor office
676,House Of Evil,house of evil
677,Field,field
678,Malibu Stacey Doll House,malibu stacey doll house
679,Springfield Harbor,springfield harbor
