character_id,name,normalized_name,gender
5231,Lucky Jim,lucky jim,unknown
5232,Clay Roberts,clay roberts,unknown
5233,Denis Leary,denis leary,unknown
5234,Brian Grazer,brian grazer,unknown
5235,Hawaiian Bartender,hawaiian bartender,unknown
5236,Hawaiian Barflies,hawaiian barflies,unknown
5237,Australian Bartender,australian bartender,unknown
5238,Australian Barfly,australian barfly,unknown
5239,Australian Barflies,australian barflies,unknown
5240,Swedish Bartender,swedish bartender,unknown
5241,Swedish Barflies,swedish barflies,unknown
5242,Warrior Statue,warrior statue,unknown
5243,Incan Warriors,incan warriors,unknown
5244,Vacu-bot,vacu-bot,unknown
5245,BART-LIKE VOICE,bart-like voice,unknown
5246,Joe Montana,joe montana,unknown
5247,Quenly,quenly,unknown
5248,Devon,devon,unknown
5249,Cap'n Crunchy,capn crunchy,unknown
5250,Tricky Rabbit,tricky rabbit,unknown
5251,Threecan Sam,threecan sam,unknown
5253,3-Year-Old Lisa,3-year-old lisa,unknown
5254,5-Year-Old Bart,5-year-old bart,unknown
5255,Sylvia,sylvia,unknown
5256,20-Year-Old Patty,20-year-old patty,unknown
5257,20-Year-Old Selma,20-year-old selma,unknown
5258,Ruthie,ruthie,unknown
5259,Doreen,doreen,unknown
5260,Bureaucrat,bureaucrat,unknown
5261,People In Line,people in line,unknown
5262,Ghost Julio,ghost julio,unknown
5263,Ghost Toddler,ghost toddler,unknown
5264,Talking Credenza,talking credenza,unknown
5265,Man In Bar,man in bar,unknown
5266,Female Event Host,female event host,unknown
5267,Merl Reagle,merl reagle,unknown
5268,Will Shortz,will shortz,unknown
5269,Santas,santas,unknown
5270,Dr. King,dr king,unknown
5271,Mall Worker,mall worker,unknown
5272,Brainiac Bar Man,brainiac bar man,unknown
5273,Smug Salesman,smug salesman,unknown
5274,Mapple Shoppers,mapple shoppers,unknown
5275,Male Shopper,male shopper,unknown
5276,Steve Mobbs,steve mobbs,unknown
5277,MIDDLE EASTERN BOY,middle eastern boy,unknown
5278,Bashir,bashir,unknown
5279,Mina,mina,unknown
5280,Octopus,octopus,unknown
5281,Arab Man,arab man,unknown
5282,Thought Bubble Lenny,thought bubble lenny,unknown
5283,Amid,amid,unknown
5284,Blue Genie,blue genie,unknown
5285,Billionaire,billionaire,unknown
5286,Billionaires,billionaires,unknown
5287,Scared Billionaire,scared billionaire,unknown
5288,Jeff Bezos,jeff bezos,unknown
5289,Poker-playing Billionaire,poker-playing billionaire,unknown
5290,Suburban Mother,suburban mother,unknown
5291,Wall-E,wall-e,unknown
